epoch,rouge_1,rouge_2,rouge_l
9,17.83,3.5900000000000003,15.959999999999999
18,22.32,6.239999999999999,20.47
32,22.67,6.18,20.51
25,22.64,6.67,20.810000000000002
39,22.68,6.7,20.4
42,22.05,6.21,20.02
26,22.56,6.569999999999999,20.66
3,14.979999999999999,1.9800000000000002,14.280000000000001
30,23.189999999999998,6.72,21.07
6,17.46,3.15,16.27
17,22.63,5.81,20.39
47,22.81,6.9,20.7
12,21.65,5.41,19.68
8,16.79,3.3099999999999996,15.45
14,21.38,4.760000000000001,19.41
7,18.43,3.38,16.89
22,23.189999999999998,6.959999999999999,21.11
46,21.92,6.260000000000001,19.7
41,22.08,6.550000000000001,20.11
40,22.68,6.79,20.62
28,22.79,6.6000000000000005,20.65
19,22.259999999999998,5.9799999999999995,20.3
44,22.830000000000002,6.76,20.599999999999998
21,22.85,6.25,20.84
2,12.33,0.9199999999999999,11.940000000000001
10,20.51,4.74,18.81
45,22.1,6.43,19.97
11,20.830000000000002,5.029999999999999,18.89
31,23.080000000000002,6.59,21.01
13,22.02,5.17,19.77
37,22.93,6.77,20.87
27,23.080000000000002,6.68,21.22
49,21.57,6.279999999999999,19.830000000000002
43,22.75,6.619999999999999,20.549999999999997
15,22.5,5.83,20.23
16,22.57,5.79,20.53
38,22.31,6.45,20.43
34,23.23,6.61,20.919999999999998
5,16.619999999999997,2.46,15.190000000000001
1,10.22,0.27,9.89
35,22.770000000000003,6.41,20.599999999999998
23,22.439999999999998,6.2700000000000005,20.65
29,22.74,6.54,20.79
33,23.28,7.03,20.95
36,23.05,6.460000000000001,20.78
48,21.04,5.970000000000001,19.0
24,23.02,6.460000000000001,21.17
20,23.06,6.32,21.07
4,17.54,2.41,16.27
